Rank,Company,Vertical,Sub-vertical,Business Model,"HQ (City, State)",Other US Call Center Sites,Call Center Seats (est.),Seats Basis / Confidence,Total Employees,Annual Revenue,Revenue Basis / Confidence,# of Clients,Client List / Key Clients,Outbound Calling Evidence,TCPA Exposure Evidence (Trigger),Lead-Sourcing Posture,Litigation /30,Lead Source /25,Volume /20,Vertical /12,Geo /8,Gap /5,TCPA RISK SCORE,Risk Band,Solvency / Reputability,CiV Fit,Buying Trigger & Timing,Entry Point (Title),Opening Hook,Sources,Overall Confidence
1,Liberty Mutual Insurance,Insurance,P&C carrier (personal lines),B2C direct + agency,"Boston, MA",Multiple US service/sales centers,"2,000+ (est.)",Est. from sales/service headcount; not disclosed - LOW,"~45,000",~$50B,Public financial reports - HIGH,N/A,N/A - direct to consumer,Operates outbound telemarketing campaigns using purchased third-party aggregator leads (per class cert order),Ward v. Liberty Mutual - TWO TCPA classes certified 6/12/2026; ~$30M exposure; leads purchased from All Web Leads,Buys aggregated third-party leads - the certified failure mode,30,25,17,12,8,2,94,1 - CRITICAL,Strong - Fortune 100 carrier,"C - enterprise cycle, in-house legal, but reference logo",Class certified 6/2026 - remediation budget unlocked NOW; carrier-wide lead audit likely underway,Chief Compliance Officer / AGC Regulatory / VP Distribution Compliance,Ward certification turned your vendor lead files into class evidence. We reconstruct consent provenance per lead so the next cert motion fails.,natlawreview.com; tcpaworld.com 6/15/2026; agencychecklists.com 6/20/2026,HIGH on trigger; LOW on seats
2,Momentum Solar (Pro Custom Solar LLC),Solar,Residential solar EPC,B2C direct sales,"South Plainfield, NJ","NJ, NY, CA, FL, TX, CT, PA, AZ, NV, MA",400-800 (est.),"Est. from inside-sales share of ~2,000 staff - LOW","~1,349-2,000+",~$161.8M,Aggregator estimate (Growjo) - LOW,N/A,N/A - direct to consumer,Telemarketing calls to consumers over a ~10-year class period (3/2015-1/2025),Up to $30M TCPA class settlement (2025) - largest solar TCPA settlement to date; two consolidated D.N.J. class actions,Purchased + self-generated solar leads,30,22,15,11,8,4,90,1 - CRITICAL,Operating - but $30M settlement is a material balance-sheet event; verify,A - settlement mandates remediation,Settlement administration underway; a consent decree-style compliance obligation is the classic CiV entry,General Counsel / Chief Compliance Officer / CEO,A $30M settlement buys a fix once. The class period ran ten years because nothing was measuring it.,claimdepot; classaction.org; topclassactions; lawobrien,HIGH on settlement
3,"All Web Leads, Inc.",Insurance,Lead generator / aggregator,B2B lead seller,"Austin, TX","Austin, TX",150-400 (est.),Est. from lead-gen ops scale - LOW,Not public,Not public,Private - NONE,Dozens (carriers + agencies),Liberty Mutual (named in Ward); carrier/agency buyers - full list not public,Generates and sells insurance leads into outbound calling programs,Named as lead source in Ward v. Liberty Mutual class cert; separately sued in TX federal court alleging systematically falsified leads,Originates and resells leads - consent provenance is the product,28,25,12,12,8,4,89,1 - CRITICAL,Operating - allegations unproven; diligence before outreach,"A - acute, mid-market, existential",Named in a certified class + a fraud-flavored suit; buyers are demanding proof of consent right now,CEO / General Counsel / Head of Compliance,"Your buyers just watched Liberty Mutual get certified on your leads. Certifiable consent provenance is now your commercial moat, not overhead.",natlawreview.com; tcpaworld.com 6/15/2026,HIGH on trigger; NONE on financials
4,AmeriSave Mortgage,Personal Finance,Mortgage lending,B2C telesales,"Atlanta, GA",Atlanta GA; multiple US,"800-1,500 (est.)",Est. - LOW,"~1,500+",Not public,Private - NONE,Consumers (direct),N/A - direct to consumer,High-volume mortgage telesales on purchased trigger/refi leads,Named among recent mortgage-industry TCPA class action defendants,Buys credit-trigger and refi leads - among the most aggressively resold lead types,20,24,18,12,8,4,86,1 - CRITICAL,Operating - major nonbank lender,A - active litigation + no listed-company legal bench,Active TCPA class action wave hitting mortgage lenders; rate moves spike refi dialing,Chief Compliance Officer / General Counsel,Credit-trigger leads are resold within minutes. You are the deep pocket at the end of a chain you cannot document.,National Mortgage News TCPA class action coverage,MEDIUM
5,American Income Life (Globe Life),Insurance,Life / final expense,B2C direct + agent force,"Waco, TX",Multiple US agency offices,"1,000+ (est.)",Est. from agent force - LOW,"~3,000 corporate + large agent force",Globe Life ~$5.8B,Public filings - HIGH,N/A,N/A - direct to consumer,Agent-driven outbound calling on purchased and referral leads,$14M TCPA class action settlement over allegedly unsolicited sales calls,Agent-purchased leads with weak central control,25,20,16,12,8,3,84,1 - CRITICAL,Strong - NYSE parent,B - large but real recurring pain,Eight-figure settlement; agent-channel controls under board scrutiny,Chief Compliance Officer / VP Agency Compliance,"A $14M settlement bought you a remediation mandate, not a fix. The agent lead pipeline is still un-instrumented.",TCPA settlement reporting; leadshook TCPA settlement roundup,MEDIUM
6,Farmers Insurance Exchange,Insurance,P&C carrier + captive agency,B2C via agency force,"Woodland Hills, CA",Multiple regional centers,"1,500+ (est.)",Est.; agency force calls separately - LOW,"~21,000",~$20B+,Reported - MEDIUM,N/A,N/A - direct to consumer,Agency-force telemarketing; settlements cover calls placed by appointed agencies on Farmers' behalf,"$2,875,000 TCPA settlement preliminarily approved 4/28/2026 (agency calls, DNC classes); separate $1.25M Heckathorn TCPA settlement",Distributed agency calling - agent-level lead buying is the blind spot,27,18,16,12,8,3,84,1 - CRITICAL,Strong - major national carrier,B - agency-channel governance is a real gap,Two settlements inside 24 months; vicarious liability for appointed agents is unresolved,Chief Compliance Officer / VP Agency Operations,Both settlements came from agent-placed calls you did not dial. Agent-channel consent governance is the unfixed root cause.,classaction.org; programbusiness.com; claimdepot.com/heckathorn,HIGH on trigger
7,"GoHealth, Inc.",Insurance,Medicare telesales,B2C telesales + lead referral,"Chicago, IL",Charlotte NC; Lindon UT (est.),"1,500-2,500 (est. peak AEP)",Est.; seasonal - MEDIUM,"~2,500 (seasonal)",~$700M-800M,Public filings - MEDIUM,Carrier partners,Major Medicare Advantage carriers; 'Encompass' warm-lead referral partners,Generates warm leads and transfers to carrier partners - outbound + transfer model,Named in DOJ FCA complaint-in-intervention 5/1/2025; company also underwent Chapter 11 restructuring,Both buys leads and generates/transfers them - dual exposure,18,23,18,12,8,4,83,1 - CRITICAL,CAUTION - restructuring history; verify current financial footing,B - verify solvency first,"DOJ action + restructuring = new leadership, new compliance mandate",Chief Compliance Officer / General Counsel,Encompass transfers put you on both sides of the consent chain. Both sides are discoverable.,justice.gov; bondoro.com GoHealth Ch11 summary; stocktitan,MEDIUM - verify solvency
8,Power Home Remodeling Group,HVAC / Home Services,Exterior remodeling,B2C direct sales,"Chester, PA",~20 US regional offices,"600-1,200 (est.)","Est. from inside sales/canvassing share of ~3,000 - LOW","~3,000",~$1B (2022),Reported - MEDIUM,N/A,N/A - direct to consumer,Large inside-sales and appointment-setting operation supporting in-home selling,Active class action (2026) alleging violation of federal telemarketing law and state consumer protection statutes; settlement discussions reported underway,Self-generated + purchased appointment-setting leads,24,20,17,10,8,4,83,1 - CRITICAL,"Strong - ~$1B revenue, No. 3 in 2026 Top 500 remodelers","A - active case, solvent, no in-house TCPA bench",Settlement discussions reported underway in 2026 - remediation design window is open right now,General Counsel / Chief Compliance Officer,"Settlement talks are the moment to design the fix, while the number is still negotiable and remediation counts as good faith.",lawfold.com Power Home Remodeling class action 2026; Qualified Remodeler Top 500,MEDIUM
9,"SelectQuote, Inc.",Insurance,Medicare / life telesales,B2C telesales,"Overland Park, KS",San Diego CA; Des Moines IA; Indianapolis IN (est.),"2,000-3,000 (est. peak AEP)",Est. from licensed agent force; seasonal surge - MEDIUM,"~3,000-5,000 (seasonal)",~$1.5B,Public filings - HIGH,Carrier partners,"Major Medicare Advantage carriers (Humana, UnitedHealthcare, Aetna et al.)",Phone-led distribution is the entire business model; high-volume licensed-agent outbound,DOJ False Claims Act complaint-in-intervention filed 5/1/2025 naming SelectQuote (kickback allegations); heavy regulated-marketing scrutiny + CMS marketing rules,Buys Medicare leads at scale during AEP surge,18,22,20,12,8,3,83,1 - CRITICAL,Strong - NYSE listed,A - seasonal surge = seasonal risk spike,DOJ action + AEP (Oct 15-Dec 7) surge staffing; compliance budget approved pre-AEP,Chief Compliance Officer / SVP Sales Operations,AEP triples your dialing and your vendor lead mix in eight weeks. That surge is when consent provenance breaks.,justice.gov press release; medicaremarketinsights; company financials,HIGH on DOJ action
10,Modernize (QuinStreet),HVAC / Home Services,Home improvement lead gen,B2B lead seller,"Austin, TX",Austin TX; QuinStreet Foster City CA,100-300 (est.),Est. - LOW,Not separately disclosed,QuinStreet segment - not broken out,Parent public - LOW,Thousands of contractors,"HVAC, solar, roofing, window contractors nationwide",Accused of cold calling using automatic dialing systems with prerecorded messages,TCPA class action settlement over cold calls placed with an ATDS and prerecorded messages,Originates and resells home improvement leads to thousands of contractor buyers,22,25,14,10,8,3,82,1 - CRITICAL,Strong - NASDAQ parent (QuinStreet),A - sells into exactly CiV's target verticals; a channel partner as much as a prospect,Settled TCPA class action; its thousands of contractor buyers are ALSO CiV prospects,General Counsel / VP Compliance,Every contractor you sell to inherits your consent language. Certifiable provenance is a wedge against every competitor in your category.,topclassactions Modernize settlement; QuinStreet disclosures,MEDIUM
