Category,Datapoint,Definition,Why it matters (TCPA),Primary source,Grade,Publicly collectible,Public collection route,What the public web gives you,What it does not give you
A. Entity & identity,Legal entity name,Exact registered name incl. LLC/Inc suffix,Determines who is named in any claim and whose consent records are discoverable,Secretary of State; company site footer,A,Yes,Secretary of State business search; site footer/terms,Complete datapoint from the route named,
A. Entity & identity,DBA / trade names,All assumed names and brand marks used with consumers,Consent captured under one brand may not authorize calls from another,State DBA filings; site; press,A,Yes,State DBA/assumed-name filings; USPTO TESS; site + press,Complete datapoint from the route named,
A. Entity & identity,Parent / holding company,Ultimate corporate parent,Vicarious liability travels up; parent sets the compliance standard,Press releases; PE sponsor site,A,Yes,Press releases; sponsor portfolio pages; site 'about',Complete datapoint from the route named,
A. Entity & identity,PE sponsor / owner,Private-equity or strategic owner,Sponsor-backed growth pressure correlates with outbound intensity,Sponsor portfolio pages; deal press,A,Yes,Sponsor portfolio pages; deal press; PitchBook-style free profiles,Complete datapoint from the route named,
A. Entity & identity,Ownership date / hold period,Date of sponsor investment; years held,Approaching exit raises the cost of undisclosed exposure,Deal announcements,B,Yes,Deal announcement dates in trade press,Complete datapoint from the route named,
A. Entity & identity,State of incorporation,Chartering state,Establishes home forum and registration duties,Secretary of State,A,Yes,Secretary of State registry,Complete datapoint from the route named,
A. Entity & identity,HQ city / state,Corporate headquarters,Anchors jurisdiction and calling-window logic,Company site; filings,A,Yes,Site contact page; SoS registered address,Complete datapoint from the route named,
A. Entity & identity,Primary domain,Canonical web domain,Root of all consent-surface harvesting,companies.website,A,Yes,Open web / DNS,Complete datapoint from the route named,
A. Entity & identity,Brand roster,Names of every child/acquired brand,Each brand is a separate consent surface and a separate calling identity,Brand pages; cert SANs; press,A,Yes,Brand pages; press; TLS certificate SANs (crt.sh),Complete datapoint from the route named,
A. Entity & identity,Brand domain list,Web domain per brand,Determines the crawl surface count,Cert SAN; brand pages; sitemap,A,Yes,Certificate transparency SANs; sitemaps; brand pages,Complete datapoint from the route named,
A. Entity & identity,Brand count: claimed vs verified,Company-claimed brand count vs count we can name,A large gap is itself evidence of decentralization,Company site vs our roster,A,Yes,Company's own claim vs roster assembled from public crawl,Complete datapoint from the route named,
A. Entity & identity,Contact-workflow controller,Which entity operates the calling/texting for each brand,Identifies who must produce consent evidence in discovery,Site; job posts; ASK,C,Partial,Site/T&C entity names and job posts hint at it; definitive answer is internal,Entity names in site T&Cs/SMS terms and job-post reporting lines,Which entity actually operates the dialer for each brand
B. Scale & footprint,Annual revenue,Reported or estimated revenue band,Scales the damages exposure and the deal size,Press; PE site; databases,B,Yes,"Press, sponsor sites, trade rankings (e.g. contractor top-lists); estimate only",Complete datapoint from the route named,
B. Scale & footprint,Employee count,Total headcount,Proxy for contact volume and internal compliance capacity,LinkedIn; press,B,Yes,LinkedIn company page; press,Complete datapoint from the route named,
B. Scale & footprint,Location count,Branches / service centers,Each location may dial independently,Site locations page,A,Yes,Site locations page; Google Business Profiles,Complete datapoint from the route named,
B. Scale & footprint,States of operation,All states where consumers are contacted,Determines which mini-TCPA statutes apply,Locations/service-area pages,A,Yes,Locations / service-area pages; state licence registries,Complete datapoint from the route named,
B. Scale & footprint,Customers / homes served,Cumulative customer count claimed,Approximates the size of the contactable database,Company site claims,A,Yes,Company's own public marketing claims,Complete datapoint from the route named,
B. Scale & footprint,Acquisitions trailing 12 months,Count of closed acquisitions in last 12 months,Each acquisition imports an unaudited consent history,Press; deal trackers,B,Yes,Press releases; deal trackers; Wayback diffs of brand pages,Complete datapoint from the route named,
B. Scale & footprint,Acquisition list with dates,Target name + close date per deal,Establishes the integration backlog,Deal trackers; press,B,Yes,Press releases; deal trackers,Complete datapoint from the route named,
B. Scale & footprint,Residential vs commercial mix,Share of consumer vs business contacts,TCPA protections attach to residential/wireless consumers,Site; ASK,B,Partial,Site positioning and service pages imply the skew; actual ratio is internal,Service pages and positioning show the skew,The actual residential/commercial ratio of the contact database
B. Scale & footprint,Service lines,HVAC / plumbing / electrical / solar / roofing,Determines seasonal campaign patterns and peer comparables,Company site,A,Yes,Company site navigation/service pages,Complete datapoint from the route named,
B. Scale & footprint,Membership / maintenance plan,Recurring service agreement program,"Creates recurring, automated contact obligations and renewal outreach",Site plans page,A,Yes,Site plans/membership page and its terms,Complete datapoint from the route named,
C. Contact channels & journeys,Outbound voice confirmed,Evidence the company places outbound calls,Threshold question for all 227(b)/(c) exposure,Job posts; vendor case studies; site,B,Yes,Job posts for outbound/call-centre roles; vendor case studies; site disclosures,Complete datapoint from the route named,
C. Contact channels & journeys,Outbound SMS confirmed,Evidence of marketing text messaging,Texts carry the same consent burden as calls,SMS terms; vendor case studies,A,Yes,SMS terms page; opt-in forms; vendor case studies,Complete datapoint from the route named,
C. Contact channels & journeys,Ringless voicemail / AI voicemail,Automated voicemail drops,Treated as a call by the FCC; high-risk channel,Vendor case studies; ASK,A,Partial,Vendor case studies and complaint text can evidence it; usage detail is internal,Vendor case studies and complaint narratives can prove it is in use,"Volume, campaigns and current status"
C. Contact channels & journeys,Prerecorded / artificial voice,Use of prerecorded or synthetic voice,227(b) strict-liability channel; AI voice now explicitly covered,Vendor case studies; complaints; ASK,A,Partial,FCC/FTC complaint narratives and vendor case studies evidence it; scope is internal,FCC/FTC complaint text naming prerecorded calls; vendor case studies,Which campaigns use it and under what consent basis
