Category,Datapoint,Definition,Why it matters (TCPA),Primary source,Grade,Publicly collectible,Public collection route
A. Entity & identity,Legal entity name,Exact registered name incl. LLC/Inc suffix,Determines who is named in any claim and whose consent records are discoverable,Secretary of State; company site footer,A,Yes,Secretary of State business search; site footer/terms
A. Entity & identity,DBA / trade names,All assumed names and brand marks used with consumers,Consent captured under one brand may not authorize calls from another,State DBA filings; site; press,A,Yes,State DBA/assumed-name filings; USPTO TESS; site + press
A. Entity & identity,Parent / holding company,Ultimate corporate parent,Vicarious liability travels up; parent sets the compliance standard,Press releases; PE sponsor site,A,Yes,Press releases; sponsor portfolio pages; site 'about'
A. Entity & identity,PE sponsor / owner,Private-equity or strategic owner,Sponsor-backed growth pressure correlates with outbound intensity,Sponsor portfolio pages; deal press,A,Yes,Sponsor portfolio pages; deal press; PitchBook-style free profiles
A. Entity & identity,Ownership date / hold period,Date of sponsor investment; years held,Approaching exit raises the cost of undisclosed exposure,Deal announcements,B,Yes,Deal announcement dates in trade press
A. Entity & identity,State of incorporation,Chartering state,Establishes home forum and registration duties,Secretary of State,A,Yes,Secretary of State registry
A. Entity & identity,HQ city / state,Corporate headquarters,Anchors jurisdiction and calling-window logic,Company site; filings,A,Yes,Site contact page; SoS registered address
A. Entity & identity,Primary domain,Canonical web domain,Root of all consent-surface harvesting,companies.website,A,Yes,Open web / DNS
A. Entity & identity,Brand roster,Names of every child/acquired brand,Each brand is a separate consent surface and a separate calling identity,Brand pages; cert SANs; press,A,Yes,Brand pages; press; TLS certificate SANs (crt.sh)
A. Entity & identity,Brand domain list,Web domain per brand,Determines the crawl surface count,Cert SAN; brand pages; sitemap,A,Yes,Certificate transparency SANs; sitemaps; brand pages
A. Entity & identity,Brand count: claimed vs verified,Company-claimed brand count vs count we can name,A large gap is itself evidence of decentralization,Company site vs our roster,A,Yes,Company's own claim vs roster assembled from public crawl
B. Scale & footprint,Annual revenue,Reported or estimated revenue band,Scales the damages exposure and the deal size,Press; PE site; databases,B,Yes,"Press, sponsor sites, trade rankings (e.g. contractor top-lists); estimate only"
B. Scale & footprint,Employee count,Total headcount,Proxy for contact volume and internal compliance capacity,LinkedIn; press,B,Yes,LinkedIn company page; press
B. Scale & footprint,Location count,Branches / service centers,Each location may dial independently,Site locations page,A,Yes,Site locations page; Google Business Profiles
B. Scale & footprint,States of operation,All states where consumers are contacted,Determines which mini-TCPA statutes apply,Locations/service-area pages,A,Yes,Locations / service-area pages; state licence registries
B. Scale & footprint,Customers / homes served,Cumulative customer count claimed,Approximates the size of the contactable database,Company site claims,A,Yes,Company's own public marketing claims
B. Scale & footprint,Acquisitions trailing 12 months,Count of closed acquisitions in last 12 months,Each acquisition imports an unaudited consent history,Press; deal trackers,B,Yes,Press releases; deal trackers; Wayback diffs of brand pages
B. Scale & footprint,Acquisition list with dates,Target name + close date per deal,Establishes the integration backlog,Deal trackers; press,B,Yes,Press releases; deal trackers
B. Scale & footprint,Service lines,HVAC / plumbing / electrical / solar / roofing,Determines seasonal campaign patterns and peer comparables,Company site,A,Yes,Company site navigation/service pages
B. Scale & footprint,Membership / maintenance plan,Recurring service agreement program,"Creates recurring, automated contact obligations and renewal outreach",Site plans page,A,Yes,Site plans/membership page and its terms
C. Contact channels & journeys,Outbound voice confirmed,Evidence the company places outbound calls,Threshold question for all 227(b)/(c) exposure,Job posts; vendor case studies; site,B,Yes,Job posts for outbound/call-centre roles; vendor case studies; site disclosures
C. Contact channels & journeys,Outbound SMS confirmed,Evidence of marketing text messaging,Texts carry the same consent burden as calls,SMS terms; vendor case studies,A,Yes,SMS terms page; opt-in forms; vendor case studies
C. Contact channels & journeys,Appointment reminder program,Automated reminders for scheduled service,"Often mixed with marketing content, converting a transactional stream into a marketing one",SMS terms; site,A,Yes,SMS terms program description; booking-flow disclosures
C. Contact channels & journeys,Abandoned-booking recovery,Outreach after an incomplete online booking,Consent may never have been completed at all,Vendor case studies; forms,B,Yes,Booking-form disclosures and vendor case studies
C. Contact channels & journeys,Review-request messaging,Automated post-service review requests,High-volume automated texting stream,Vendor case studies; SMS terms,B,Yes,SMS terms; review-platform footprints; vendor case studies
C. Contact channels & journeys,Financing / promotional offers,Promotional campaigns incl. financing,Unambiguously telemarketing; requires PEWC,Site; campaign pages,A,Yes,Site promo and financing pages; campaign landing pages
C. Contact channels & journeys,Multi-day automated sequence,Confirmed multi-touch automated cadence,Multiplies per-violation damages across every touch,Vendor case studies,A,Yes,Vendor case studies describing the cadence publicly
D. Consent capture,Lead form inventory,URL of every form collecting a phone number,Each form is a separate consent instrument,Site crawl,A,Yes,Site-wide crawl of every brand domain
D. Consent capture,Phone field present,Form collects a telephone number,Identifies which forms create TCPA obligations,Rendered DOM,A,Yes,Rendered DOM of each form
D. Consent capture,Consent checkbox present,An affirmative opt-in control exists,"PEWC requires an affirmative act, not passive notice",Rendered DOM,A,Yes,Rendered DOM
D. Consent capture,Checkbox pre-checked,Whether the box defaults to checked,A pre-checked box is not affirmative consent,Rendered DOM (defaultChecked),A,Yes,Rendered DOM (defaultChecked attribute)
D. Consent capture,Consent language verbatim,Exact disclosure text next to the phone field,This is the text a plaintiff's expert will parse word by word,Rendered DOM,A,Yes,Rendered DOM text adjacent to the phone field
D. Consent capture,PEWC: agreement / signature,Clear written agreement to receive telemarketing,Required element of 47 CFR 64.1200(f)(9),Form + policy text,A,Yes,Form text + linked policy
D. Consent capture,PEWC: autodialer disclosure,States calls may use an automatic telephone dialing system,Required element of 64.1200(f)(9),Form + policy text,A,Yes,Form text + linked policy
D. Consent capture,PEWC: prerecorded voice disclosure,States calls may use artificial or prerecorded voice,Required element of 64.1200(f)(9),Form + policy text,A,Yes,Form text + linked policy
D. Consent capture,PEWC: not a condition of purchase,States consent is not required to buy anything,Required element of 64.1200(f)(9)(i)(B) — most commonly missing,Form + policy text,A,Yes,Form text + linked policy
D. Consent capture,PEWC: seller identified,Names the specific business authorized to call,Consent must identify who may call,Form + policy text,A,Yes,Form text + linked policy
D. Consent capture,Scope extends to affiliates,Language extending consent to affiliates/partners,Leaves the authorized-caller set undefined and unprovable,Policy text,A,Yes,Published consent/privacy text
D. Consent capture,Scope names channels,Whether consent distinguishes calls from texts,Channel-ambiguous consent is contested in litigation,Policy text,A,Yes,Published consent/privacy text
D. Consent capture,Privacy link adjacent to form,Policy linked at point of collection,Supports the 'clear and conspicuous' requirement,Rendered DOM,B,Yes,Rendered DOM
D. Consent capture,Consent text version / date,Last-updated date on the policy,Establishes which consents were captured under which text,Policy footer,A,Yes,Policy footer last-updated line
D. Consent capture,Consent change history,Prior versions of the consent language over time,Consents captured under superseded text may be unprovable,Wayback CDX (pending access test),A,Yes,Wayback Machine CDX API snapshots of the policy URL
E. SMS program,SMS terms page exists,Dedicated messaging terms page,Absence signals an unmanaged messaging program,Site crawl,A,Yes,"Site crawl for /sms-terms, /messaging-terms etc."
E. SMS program,Frequency disclosed,Whether message frequency is stated,Required element of carrier and CTIA messaging standards,SMS terms,A,Yes,SMS terms page
E. SMS program,Disclosed frequency value,"The stated cadence, e.g. 'up to daily'",A high self-disclosed cadence multiplies per-message exposure,SMS terms,A,Yes,SMS terms page
E. SMS program,Msg & data rates notice,Standard rates disclosure present,Required messaging-program element,SMS terms,A,Yes,SMS terms page
E. SMS program,STOP keyword disclosed,Opt-out keyword documented,Revocation mechanism must be disclosed and honored,SMS terms,A,Yes,SMS terms page
E. SMS program,HELP keyword disclosed,Help keyword documented,Required messaging-program element,SMS terms,A,Yes,SMS terms page
E. SMS program,Program description,Stated purpose of the messaging program,Marketing programs require PEWC; transactional do not,SMS terms,A,Yes,SMS terms page
F. Lead sources,Third-party aggregators,"Angi, Thumbtack, HomeAdvisor, Modernize, Networx etc.",Purchased-lead consent is the most litigated TCPA fact pattern,Site fingerprint; vendor case studies,A,Yes,Aggregator directory listings and profile pages; site badges/fingerprints
F. Lead sources,Google Local Services Ads,Participation in Google LSA,"Lead arrives with Google's consent, not the contractor's",Site fingerprint; badge,A,Yes,Google LSA listings and the Google Guaranteed badge
G. Telephony & numbers,Published main line(s),Numbers shown on the website,Starting point of the number inventory,companies.phone; site,A,Yes,Site contact pages; Google Business Profiles
G. Telephony & numbers,Full site number inventory,Every number on every page of every brand domain,Main lines alone do not match complaint data — this is the fix,Site-wide crawl,A,Yes,Site-wide crawl of every page of every brand domain
G. Telephony & numbers,Call-tracking DIDs,Dynamic numbers injected by call-tracking software,These are often the numbers that actually appear in complaints,Rendered DOM; CallRail/Invoca fingerprint,A,Yes,Rendered DOM with tracking JS executed; repeat renders surface the DID pool
G. Telephony & numbers,Toll-free numbers,8XX numbers in use,Separate registration and routing profile,Site crawl,A,Yes,Site crawl; SOMOS toll-free lookups
G. Telephony & numbers,Carrier / OCN per number,Operating carrier per number block,Identifies wholesale providers used for outbound,npanxx_blocks,A,Yes,NANPA / public NPA-NXX block assignment data
G. Telephony & numbers,Wholesale VoIP flag,Number sits on a known wholesale VoIP carrier,Strong indicator of dialer infrastructure,wholesale_voip_carriers,A,Yes,Derived from public carrier/OCN assignment data
G. Telephony & numbers,NPA-NXX blocks used,Central-office blocks the company operates in,Enables reverse attribution of unpublished DIDs,npanxx_blocks,A,Yes,NANPA public block assignments joined to observed numbers
G. Telephony & numbers,Number count and churn,"How many numbers, and how often they change",High churn is a hallmark of dialer rotation,Repeat crawls,B,Yes,Repeat crawls of the same public pages over time
H. Technology stack,CRM / field service platform,"ServiceTitan, Housecall Pro, Jobber etc.",System of record for consent and suppression,Site fingerprint; job posts,A,Yes,Site/booking-widget fingerprints; job posts naming the platform
H. Technology stack,SMS platform,"Hatch, Podium, Twilio, EZ Texting etc.",Owns the texting cadence and opt-out handling,Site fingerprint; case studies,A,Yes,Site widget fingerprints; SMS terms; vendor case studies
H. Technology stack,Conversational AI / chatbot,AI agent handling inbound or outbound conversations,AI-initiated contact is squarely regulated,Site fingerprint; case studies,A,Yes,Chat widget fingerprint on the live site
H. Technology stack,Call tracking vendor,"CallRail, Invoca etc.",Source of the DIDs that appear in complaints,Site fingerprint,A,Yes,"Script fingerprint (CallRail, Invoca) in page source"
H. Technology stack,Marketing automation,Email/SMS campaign platform,Campaign orchestration and suppression sync point,Site fingerprint,B,Yes,Tag and script fingerprints on the site
I. DNC & suppression,Written internal DNC policy,A published do-not-call policy document,47 CFR 64.1200(d)(1) requires a written policy available on demand,Site crawl,A,Yes,Site crawl for the published do-not-call policy
I. DNC & suppression,Any reasonable means' language,Whether policy limits revocation channels,A caller may not designate an exclusive revocation method,Policy text,A,Yes,Published policy text
L. Governance,Named compliance owner,Person accountable for telemarketing compliance,No owner means no program,LinkedIn; site; ASK,B,Yes,LinkedIn title search; leadership pages; policy signature blocks
L. Governance,Legal / compliance headcount,Size of the in-house function,Capacity to manage multi-brand obligations,LinkedIn,B,Yes,LinkedIn people search by function
M. Complaints,FCC unwanted-call complaints,Complaints on attributed numbers,Direct evidence consumers reported this operation,"fcc_violations (80,536 rows)",A,Yes,FCC Consumer Complaint Data Center open dataset
M. Complaints,FCC prerecorded subset,Complaints specifically citing prerecorded voice,227(b) strict-liability channel,fcc_violations filter,A,Yes,"Same FCC open dataset, filtered on issue type"
