Category,Datapoint,Definition,Why it matters (TCPA),Primary source,Grade,Publicly collectible,Public collection route
A. Entity & identity,Legal entity name,Exact registered name incl. LLC/Inc suffix,Determines who is named in any claim and whose consent records are discoverable,Secretary of State; company site footer,A,Yes,Secretary of State business search; site footer/terms
A. Entity & identity,DBA / trade names,All assumed names and brand marks used with consumers,Consent captured under one brand may not authorize calls from another,State DBA filings; site; press,A,Yes,State DBA/assumed-name filings; USPTO TESS; site + press
A. Entity & identity,Parent / holding company,Ultimate corporate parent,Vicarious liability travels up; parent sets the compliance standard,Press releases; PE sponsor site,A,Yes,Press releases; sponsor portfolio pages; site 'about'
A. Entity & identity,PE sponsor / owner,Private-equity or strategic owner,Sponsor-backed growth pressure correlates with outbound intensity,Sponsor portfolio pages; deal press,A,Yes,Sponsor portfolio pages; deal press; PitchBook-style free profiles
A. Entity & identity,Ownership date / hold period,Date of sponsor investment; years held,Approaching exit raises the cost of undisclosed exposure,Deal announcements,B,Yes,Deal announcement dates in trade press
A. Entity & identity,State of incorporation,Chartering state,Establishes home forum and registration duties,Secretary of State,A,Yes,Secretary of State registry
A. Entity & identity,HQ city / state,Corporate headquarters,Anchors jurisdiction and calling-window logic,Company site; filings,A,Yes,Site contact page; SoS registered address
A. Entity & identity,Primary domain,Canonical web domain,Root of all consent-surface harvesting,companies.website,A,Yes,Open web / DNS
A. Entity & identity,Brand roster,Names of every child/acquired brand,Each brand is a separate consent surface and a separate calling identity,Brand pages; cert SANs; press,A,Yes,Brand pages; press; TLS certificate SANs (crt.sh)
A. Entity & identity,Brand domain list,Web domain per brand,Determines the crawl surface count,Cert SAN; brand pages; sitemap,A,Yes,Certificate transparency SANs; sitemaps; brand pages
A. Entity & identity,Brand count: claimed vs verified,Company-claimed brand count vs count we can name,A large gap is itself evidence of decentralization,Company site vs our roster,A,Yes,Company's own claim vs roster assembled from public crawl
A. Entity & identity,Contact-workflow controller,Which entity operates the calling/texting for each brand,Identifies who must produce consent evidence in discovery,Site; job posts; ASK,C,Partial,Site/T&C entity names and job posts hint at it; definitive answer is internal
B. Scale & footprint,Annual revenue,Reported or estimated revenue band,Scales the damages exposure and the deal size,Press; PE site; databases,B,Yes,"Press, sponsor sites, trade rankings (e.g. contractor top-lists); estimate only"
B. Scale & footprint,Employee count,Total headcount,Proxy for contact volume and internal compliance capacity,LinkedIn; press,B,Yes,LinkedIn company page; press
B. Scale & footprint,Location count,Branches / service centers,Each location may dial independently,Site locations page,A,Yes,Site locations page; Google Business Profiles
B. Scale & footprint,States of operation,All states where consumers are contacted,Determines which mini-TCPA statutes apply,Locations/service-area pages,A,Yes,Locations / service-area pages; state licence registries
B. Scale & footprint,Customers / homes served,Cumulative customer count claimed,Approximates the size of the contactable database,Company site claims,A,Yes,Company's own public marketing claims
B. Scale & footprint,Acquisitions trailing 12 months,Count of closed acquisitions in last 12 months,Each acquisition imports an unaudited consent history,Press; deal trackers,B,Yes,Press releases; deal trackers; Wayback diffs of brand pages
B. Scale & footprint,Acquisition list with dates,Target name + close date per deal,Establishes the integration backlog,Deal trackers; press,B,Yes,Press releases; deal trackers
B. Scale & footprint,Residential vs commercial mix,Share of consumer vs business contacts,TCPA protections attach to residential/wireless consumers,Site; ASK,B,Partial,Site positioning and service pages imply the skew; actual ratio is internal
B. Scale & footprint,Service lines,HVAC / plumbing / electrical / solar / roofing,Determines seasonal campaign patterns and peer comparables,Company site,A,Yes,Company site navigation/service pages
B. Scale & footprint,Membership / maintenance plan,Recurring service agreement program,"Creates recurring, automated contact obligations and renewal outreach",Site plans page,A,Yes,Site plans/membership page and its terms
C. Contact channels & journeys,Outbound voice confirmed,Evidence the company places outbound calls,Threshold question for all 227(b)/(c) exposure,Job posts; vendor case studies; site,B,Yes,Job posts for outbound/call-centre roles; vendor case studies; site disclosures
C. Contact channels & journeys,Outbound SMS confirmed,Evidence of marketing text messaging,Texts carry the same consent burden as calls,SMS terms; vendor case studies,A,Yes,SMS terms page; opt-in forms; vendor case studies
C. Contact channels & journeys,Ringless voicemail / AI voicemail,Automated voicemail drops,Treated as a call by the FCC; high-risk channel,Vendor case studies; ASK,A,Partial,Vendor case studies and complaint text can evidence it; usage detail is internal
C. Contact channels & journeys,Prerecorded / artificial voice,Use of prerecorded or synthetic voice,227(b) strict-liability channel; AI voice now explicitly covered,Vendor case studies; complaints; ASK,A,Partial,FCC/FTC complaint narratives and vendor case studies evidence it; scope is internal
C. Contact channels & journeys,Agent vs automated initiation,Whether a human presses dial for each call,Determines ATDS analysis and consent standard,ASK,C,No,Dialing architecture is not externally observable
C. Contact channels & journeys,Appointment reminder program,Automated reminders for scheduled service,"Often mixed with marketing content, converting a transactional stream into a marketing one",SMS terms; site,A,Yes,SMS terms program description; booking-flow disclosures
C. Contact channels & journeys,Quote / estimate follow-up,Sequence after an unclosed estimate,Classic post-consent-expiry contact pattern,Vendor case studies; ASK,B,Partial,Vendor case studies / form disclosures suggest it; cadence is internal
C. Contact channels & journeys,Abandoned-booking recovery,Outreach after an incomplete online booking,Consent may never have been completed at all,Vendor case studies; forms,B,Yes,Booking-form disclosures and vendor case studies
C. Contact channels & journeys,Renewal / membership outreach,Contact to renew a plan,Recurring automated contact against aging consent,Site; ASK,B,Partial,Plan terms disclose renewal contact; actual campaign is internal
C. Contact channels & journeys,Win-back / reactivation,Outreach to lapsed customers,Consent staleness and revocation-propagation risk peak here,ASK; vendor case studies,C,Partial,Vendor case studies occasionally name it; otherwise internal
C. Contact channels & journeys,Review-request messaging,Automated post-service review requests,High-volume automated texting stream,Vendor case studies; SMS terms,B,Yes,SMS terms; review-platform footprints; vendor case studies
C. Contact channels & journeys,Financing / promotional offers,Promotional campaigns incl. financing,Unambiguously telemarketing; requires PEWC,Site; campaign pages,A,Yes,Site promo and financing pages; campaign landing pages
C. Contact channels & journeys,Collections contact,Contact regarding unpaid balances,Different consent basis; often mixed with marketing,ASK,D,No,No public artefact; internal process
C. Contact channels & journeys,Multi-day automated sequence,Confirmed multi-touch automated cadence,Multiplies per-violation damages across every touch,Vendor case studies,A,Yes,Vendor case studies describing the cadence publicly
D. Consent capture,Lead form inventory,URL of every form collecting a phone number,Each form is a separate consent instrument,Site crawl,A,Yes,Site-wide crawl of every brand domain
D. Consent capture,Phone field present,Form collects a telephone number,Identifies which forms create TCPA obligations,Rendered DOM,A,Yes,Rendered DOM of each form
D. Consent capture,Consent checkbox present,An affirmative opt-in control exists,"PEWC requires an affirmative act, not passive notice",Rendered DOM,A,Yes,Rendered DOM
D. Consent capture,Checkbox pre-checked,Whether the box defaults to checked,A pre-checked box is not affirmative consent,Rendered DOM (defaultChecked),A,Yes,Rendered DOM (defaultChecked attribute)
D. Consent capture,Consent language verbatim,Exact disclosure text next to the phone field,This is the text a plaintiff's expert will parse word by word,Rendered DOM,A,Yes,Rendered DOM text adjacent to the phone field
D. Consent capture,PEWC: agreement / signature,Clear written agreement to receive telemarketing,Required element of 47 CFR 64.1200(f)(9),Form + policy text,A,Yes,Form text + linked policy
D. Consent capture,PEWC: autodialer disclosure,States calls may use an automatic telephone dialing system,Required element of 64.1200(f)(9),Form + policy text,A,Yes,Form text + linked policy
D. Consent capture,PEWC: prerecorded voice disclosure,States calls may use artificial or prerecorded voice,Required element of 64.1200(f)(9),Form + policy text,A,Yes,Form text + linked policy
D. Consent capture,PEWC: not a condition of purchase,States consent is not required to buy anything,Required element of 64.1200(f)(9)(i)(B) — most commonly missing,Form + policy text,A,Yes,Form text + linked policy
D. Consent capture,PEWC: seller identified,Names the specific business authorized to call,Consent must identify who may call,Form + policy text,A,Yes,Form text + linked policy
D. Consent capture,Scope extends to affiliates,Language extending consent to affiliates/partners,Leaves the authorized-caller set undefined and unprovable,Policy text,A,Yes,Published consent/privacy text
D. Consent capture,Scope names channels,Whether consent distinguishes calls from texts,Channel-ambiguous consent is contested in litigation,Policy text,A,Yes,Published consent/privacy text
D. Consent capture,Privacy link adjacent to form,Policy linked at point of collection,Supports the 'clear and conspicuous' requirement,Rendered DOM,B,Yes,Rendered DOM
D. Consent capture,Consent text version / date,Last-updated date on the policy,Establishes which consents were captured under which text,Policy footer,A,Yes,Policy footer last-updated line
D. Consent capture,Consent change history,Prior versions of the consent language over time,Consents captured under superseded text may be unprovable,Wayback CDX (pending access test),A,Yes,Wayback Machine CDX API snapshots of the policy URL
D. Consent capture,Offline / phone consent script,What agents say to capture consent by phone,Oral consent for telemarketing rarely satisfies PEWC,ASK,C,No,Agent scripts are internal
E. SMS program,SMS terms page exists,Dedicated messaging terms page,Absence signals an unmanaged messaging program,Site crawl,A,Yes,"Site crawl for /sms-terms, /messaging-terms etc."
E. SMS program,Frequency disclosed,Whether message frequency is stated,Required element of carrier and CTIA messaging standards,SMS terms,A,Yes,SMS terms page
E. SMS program,Disclosed frequency value,"The stated cadence, e.g. 'up to daily'",A high self-disclosed cadence multiplies per-message exposure,SMS terms,A,Yes,SMS terms page
E. SMS program,Msg & data rates notice,Standard rates disclosure present,Required messaging-program element,SMS terms,A,Yes,SMS terms page
E. SMS program,STOP keyword disclosed,Opt-out keyword documented,Revocation mechanism must be disclosed and honored,SMS terms,A,Yes,SMS terms page
E. SMS program,HELP keyword disclosed,Help keyword documented,Required messaging-program element,SMS terms,A,Yes,SMS terms page
E. SMS program,Program description,Stated purpose of the messaging program,Marketing programs require PEWC; transactional do not,SMS terms,A,Yes,SMS terms page
E. SMS program,Number type used for SMS,"Short code, 10DLC long code, or toll-free",Determines registration duties and carrier scrutiny,SMS terms; message headers; ASK,C,Partial,Short/toll-free codes are often published in SMS terms; 10DLC long codes usually are not
E. SMS program,A2P 10DLC registration,Brand and campaign registration status,Unregistered A2P traffic is filtered and signals informal governance,Carrier registry; ASK,C,No,The Campaign Registry is a closed carrier registry
E. SMS program,Marketing vs transactional split,Whether streams are separated,Mixing converts an exempt stream into a regulated one,ASK,C,No,Internal stream separation; not externally visible
F. Lead sources,Third-party aggregators,"Angi, Thumbtack, HomeAdvisor, Modernize, Networx etc.",Purchased-lead consent is the most litigated TCPA fact pattern,Site fingerprint; vendor case studies,A,Yes,Aggregator directory listings and profile pages; site badges/fingerprints
F. Lead sources,Google Local Services Ads,Participation in Google LSA,"Lead arrives with Google's consent, not the contractor's",Site fingerprint; badge,A,Yes,Google LSA listings and the Google Guaranteed badge
F. Lead sources,Affiliate / co-registration,Affiliate or co-reg lead programs,Consent obtained by an unknown third party on an unknown page,Job posts; site; ASK,B,Partial,Job posts and affiliate-network directories give signals; contracts are internal
F. Lead sources,Purchased / shared lists,Bought or shared contact lists,Consent frequently does not name the calling seller,ASK,C,No,Purchasing behaviour leaves no public artefact
F. Lead sources,Vendor consent-proof terms,Contractual obligation for vendors to supply consent evidence,Determines whether they can produce proof in discovery,ASK,C,No,Private contract terms
F. Lead sources,Consent artifact captured,TrustedForm / Jornaya certificate stored with each lead,"Without a certificate, consent is asserted but not evidenced",Page fingerprint; ASK,B,Partial,TrustedForm/Jornaya scripts are detectable in page source; storage practice is internal
F. Lead sources,Lead age at first contact,Elapsed time between consent and first dial,Stale consent is a common defense failure,ASK,C,No,Internal timestamp data
